"Customer ID","Max(Order Date)","Unique count(Order ID)","Sum(Sales)","First(Segment)","First(Customer Name)"
"AS-10225","2014-12-19",28,21366.89870000001,"Corporate","Alan Schoenberger"
"AS-10240","2014-12-19",31,9006.666360000001,"Consumer","Alan Shonely"
"AS-10285","2014-12-13",30,16179.862459999998,"Corporate","Alejandro Savely"
"AS-10630","2014-11-26",19,9815.939500000002,"Home Office","Ann Steele"
"AS-135","2014-09-30",5,3978.81,"Home Office","Adrian Shami"
"AS-225","2014-12-29",7,469.51499999999993,"Corporate","Alan Schoenberger"
"AS-240","2013-08-20",5,1686.5099999999995,"Consumer","Alan Shonely"
"AS-285","2014-09-23",13,4938.4619999999995,"Corporate","Alejandro Savely"
"AS-45","2014-05-12",3,1616.3339999999998,"Corporate","Aaron Smayling"
"AS-630","2014-11-28",11,2000.01,"Home Office","Ann Steele"
"AS-90","2014-12-10",4,435.20399999999995,"Consumer","Adam Shillingsburg"
"AT-10435","2014-12-19",24,13654.305500000002,"Home Office","Alyssa Tate"
"AT-10735","2014-12-29",29,12984.1049,"Consumer","Annie Thurman"
"AT-435","2014-12-03",12,1287.9929999999997,"Home Office","Alyssa Tate"
"AT-735","2014-10-23",5,403.65,"Consumer","Annie Thurman"
"AW-10840","2014-12-15",25,13200.255519999997,"Consumer","Anthony Witt"
"AW-10930","2014-11-26",22,10230.958560000001,"Home Office","Arthur Wiediger"
"AW-840","2014-11-05",7,1946.9999999999998,"Consumer","Anthony Witt"
"AW-930","2014-11-24",6,782.0550000000001,"Home Office","Arthur Wiediger"
"AY-10555","2014-12-17",16,5446.610439999999,"Corporate","Andy Yotov"
"AY-555","2014-11-26",11,3096.4199999999996,"Corporate","Andy Yotov"
"AZ-10750","2014-10-22",18,9639.800999999998,"Consumer","Annie Zypern"
"AZ-750","2014-12-05",10,2231.277,"Consumer","Annie Zypern"
"BB-10990","2014-12-17",30,9064.532699999996,"Corporate","Barry Blumstein"
"BB-11545","2014-12-03",26,15797.571879999996,"Corporate","Brenda Bowman"
"BB-1545","2014-11-12",5,207.228,"Corporate","Brenda Bowman"
"BB-990","2014-11-11",7,822.288,"Corporate","Barry Blumstein"
"BC-11125","2014-11-28",28,14789.446999999995,"Home Office","Becky Castell"
"BC-1125","2014-12-02",6,396.042,"Home Office","Becky Castell"
"BD-11320","2014-12-26",32,13390.267,"Consumer","Bill Donatelli"
"BD-11500","2014-12-12",27,13089.8495,"Consumer","Bradley Drucker"
"BD-11560","2014-12-24",19,9356.779739999998,"Home Office","Brendan Dodson"
"BD-11605","2014-09-25",19,9202.662139999997,"Consumer","Brian Dahlen"
"BD-11620","2014-11-12",25,7849.0000199999995,"Consumer","Brian DeCherney"
"BD-11635","2014-12-22",25,11230.6983,"Consumer","Brian Derr"
"BD-11725","2014-12-27",30,10877.826999999996,"Consumer","Bruce Degenhardt"
"BD-11770","2014-11-26",26,10168.32526,"Consumer","Bryan Davis"
"BD-1320","2014-12-26",6,1885.0500000000002,"Consumer","Bill Donatelli"
"BD-1500","2013-11-28",3,52.047,"Consumer","Bradley Drucker"
"BD-1560","2014-10-02",5,1564.02,"Home Office","Brendan Dodson"
"BD-1605","2014-03-31",5,689.64,"Consumer","Brian Dahlen"
"BD-1620","2014-09-05",11,2919.597,"Consumer","Brian DeCherney"
"BD-1635","2014-02-10",9,5689.263,"Consumer","Brian Derr"
"BD-1725","2014-09-22",13,5078.400000000002,"Consumer","Bruce Degenhardt"
"BD-1770","2014-05-07",5,3405.066,"Consumer","Bryan Davis"
"BE-11335","2014-11-26",37,27158.0184,"Home Office","Bill Eplett"
"BE-11410","2014-10-08",30,16552.06996,"Consumer","Bobby Elias"
"BE-11455","2014-12-28",27,17643.52530000001,"Home Office","Brad Eason"
"BE-1335","2013-06-07",5,1321.149,"Home Office","Bill Eplett"
"BE-1410","2014-12-10",7,1859.859,"Consumer","Bobby Elias"
"BE-1455","2014-08-07",2,1340.31,"Home Office","Brad Eason"
"BF-1005","2012-12-27",2,732.033,"Home Office","Barry Franz"
"BF-1020","2014-09-26",7,3006.9960000000005,"Corporate","Barry Französisch"
"BF-1080","2014-06-05",6,3808.17,"Consumer","Bart Folk"
"BF-10975","2014-11-26",22,8104.779199999995,"Corporate","Barbara Fisher"
"BF-11005","2014-12-23",25,23347.83866000001,"Home Office","Barry Franz"
"BF-11020","2014-12-16",24,10201.2813,"Corporate","Barry Französisch"
"BF-11080","2014-12-06",21,10134.5617,"Consumer","Bart Folk"
"BF-11170","2014-12-15",31,22314.840440000007,"Home Office","Ben Ferrer"
"BF-11215","2014-12-05",27,12968.938500000002,"Home Office","Benjamin Farhat"
"BF-11275","2014-12-25",23,9578.598640000002,"Corporate","Beth Fritzler"
"BF-1170","2014-06-21",6,904.9200000000001,"Home Office","Ben Ferrer"
"BF-1215","2014-09-05",5,398.919,"Home Office","Benjamin Farhat"
"BF-1275","2014-08-25",7,1009.9739999999999,"Corporate","Beth Fritzler"
"BF-975","2014-12-09",8,1730.2319999999997,"Corporate","Barbara Fisher"
"BG-1035","2013-05-10",1,124.416,"Consumer","Barry Gonzalez"
"BG-11035","2014-12-03",33,19899.147399999994,"Consumer","Barry Gonzalez"
"BG-11695","2014-12-22",19,10723.32038,"Corporate","Brooke Gillingham"
"BG-11740","2014-12-25",24,14689.342499999999,"Consumer","Bruce Geld"
"BG-1695","2014-11-17",5,488.85,"Corporate","Brooke Gillingham"
"BG-1740","2014-12-15",4,692.4540000000001,"Consumer","Bruce Geld"
"BH-11710","2014-12-08",31,23537.33500000001,"Consumer","Brosina Hoffman"
"BH-1710","2014-09-29",10,4583.285999999999,"Consumer","Brosina Hoffman"
"BK-11260","2014-12-05",27,13294.687359999998,"Consumer","Berenike Kampe"
"BK-1260","2014-11-21",6,291.564,"Consumer","Berenike Kampe"
"BM-11140","2014-12-23",29,25312.29269999999,"Consumer","Becky Martin"
"BM-1140","2014-12-18",6,1857.69,"Consumer","Becky Martin"
"BM-11575","2014-11-27",25,10351.33308,"Corporate","Brendan Murry"
"BM-11650","2014-11-28",24,14376.616079999998,"Corporate","Brian Moss"
"BM-11785","2014-12-29",36,18446.852899999994,"Consumer","Bryan Mills"
"BM-1575","2014-11-21",9,1703.982,"Corporate","Brendan Murry"
"BM-1650","2013-09-06",8,2537.1059999999998,"Corporate","Brian Moss"
"BM-1785","2014-11-13",9,2244.342,"Consumer","Bryan Mills"
"BN-11470","2014-12-20",29,23378.103880000013,"Corporate","Brad Norvell"
"BN-11515","2014-12-22",23,10272.225519999998,"Consumer","Bradley Nguyen"
"BN-1470","2014-12-09",7,2823.8520000000003,"Corporate","Brad Norvell"
"BN-1515","2014-12-04",8,2606.8019999999997,"Consumer","Bradley Nguyen"
"BO-11350","2014-09-11",20,7476.2547,"Corporate","Bill Overfelt"
"BO-11425","2014-12-26",21,12356.585519999997,"Consumer","Bobby Odegard"
"BO-1350","2014-12-10",6,616.2360000000001,"Corporate","Bill Overfelt"
"BO-1425","2014-12-30",8,2671.257,"Consumer","Bobby Odegard"
"BP-1050","2014-12-20",9,4981.542000000001,"Corporate","Barry Pond"
"BP-1095","2014-12-20",6,1759.6680000000003,"Corporate","Bart Pistole"
"BP-11050","2014-12-26",21,5403.78676,"Corporate","Barry Pond"
"BP-11095","2014-12-29",32,8327.8696,"Corporate","Bart Pistole"
"BP-11155","2014-11-29",24,13696.143459999998,"Consumer","Becky Pak"
"BP-11185","2014-12-30",28,15376.03172,"Corporate","Ben Peterman"
"BP-11230","2014-11-22",23,12573.613599999999,"Consumer","Benjamin Patterson"
"BP-11290","2014-12-19",29,12448.899780000003,"Consumer","Beth Paige"
"BP-1155","2014-04-14",6,1110.78,"Consumer","Becky Pak"
"BP-1185","2014-12-27",10,1430.616,"Corporate","Ben Peterman"
"BP-1230","2014-10-09",8,6134.9879999999985,"Consumer","Benjamin Patterson"
"BP-1290","2013-12-27",4,383.34000000000003,"Consumer","Beth Paige"
"BS-11365","2014-12-31",26,22551.02596,"Corporate","Bill Shonely"
"BS-11380","2014-12-03",23,18305.978300000006,"Corporate","Bill Stewart"
"BS-11590","2014-11-26",23,11358.586019999995,"Corporate","Brendan Sweed"
"BS-11665","2014-12-02",24,17468.880999999998,"Consumer","Brian Stugart"
"BS-11755","2014-12-30",29,17557.459499999986,"Consumer","Bruce Stewart"
"BS-11800","2014-12-22",21,10887.211799999997,"Home Office","Bryan Spruell"
"BS-1365","2014-11-24",5,957.6300000000002,"Corporate","Bill Shonely"
"BS-1380","2014-08-22",5,469.45799999999997,"Corporate","Bill Stewart"
"BS-1590","2014-05-08",5,819.45,"Corporate","Brendan Sweed"
"BS-1665","2014-08-01",7,5101.908,"Consumer","Brian Stugart"
"BS-1755","2014-03-11",5,1679.7600000000002,"Consumer","Bruce Stewart"
"BS-1800","2014-12-20",9,6364.853999999999,"Home Office","Bryan Spruell"
"BT-11305","2014-12-03",24,10321.819999999994,"Home Office","Beth Thompson"
"BT-11395","2014-12-03",24,11347.528999999999,"Corporate","Bill Tyler"
"BT-11440","2014-11-10",21,8263.975499999999,"Consumer","Bobby Trafton"
"BT-11485","2014-12-01",29,8878.05054,"Home Office","Brad Thomas"
"BT-11530","2014-11-28",25,13808.318000000003,"Home Office","Bradley Talbott"
"BT-11680","2014-12-13",22,14087.763099999998,"Consumer","Brian Thompson"
"BT-1305","2014-11-30",10,1305.9600000000003,"Home Office","Beth Thompson"
"BT-1395","2014-11-28",4,448.848,"Corporate","Bill Tyler"
"BT-1440","2014-09-29",10,2132.565,"Consumer","Bobby Trafton"
"BT-1485","2014-09-25",9,2803.9740000000006,"Home Office","Brad Thomas"
"BT-1530","2014-01-13",7,1535.7809999999997,"Home Office","Bradley Talbott"
"BT-1680","2014-11-04",4,807.3599999999999,"Consumer","Brian Thompson"
"BV-11245","2014-11-17",22,20681.678000000007,"Corporate","Benjamin Venier"
"BV-1245","2014-08-25",3,684.2640000000001,"Corporate","Benjamin Venier"
"BW-1065","2014-12-09",5,9027.48,"Consumer","Barry Weirich"
"BW-11065","2014-11-11",18,8409.0559,"Consumer","Barry Weirich"
"BW-1110","2014-06-30",10,1696.8300000000002,"Corporate","Bart Watters"
"BW-11110","2014-11-07",35,30497.876500000013,"Corporate","Bart Watters"
"BW-11200","2014-11-21",29,11862.369079999995,"Consumer","Ben Wallace"
"BW-1200","2014-08-20",4,3105.816,"Consumer","Ben Wallace"
"CA-11965","2014-12-13",26,21110.5214,"Corporate","Carol Adams"
"CA-12055","2014-12-18",22,10691.027999999998,"Home Office","Cathy Armstrong"
"CA-12265","2014-11-27",31,18472.668899999997,"Consumer","Christina Anderson"
"CA-12310","2014-12-18",21,7166.2308600000015,"Corporate","Christine Abelman"
"CA-12775","2014-09-29",26,18350.464000000004,"Consumer","Cynthia Arntzen"
"CA-1965","2014-08-26",8,2883.1409999999996,"Corporate","Carol Adams"
"CA-2055","2014-04-17",3,1601.73,"Home Office","Cathy Armstrong"
"CA-2265","2014-09-17",7,3364.638,"Consumer","Christina Anderson"
"CA-2310","2014-01-29",5,636.06,"Corporate","Christine Abelman"
"CA-2775","2014-02-25",4,1485.8969999999997,"Consumer","Cynthia Arntzen"
"CB-12025","2014-12-22",25,11685.318600000002,"Consumer","Cassandra Brandow"
"CB-12415","2014-12-05",23,12705.54736,"Consumer","Christy Brittain"
"CB-12535","2014-11-19",27,18108.67284,"Corporate","Claudia Bergmann"
"CB-2025","2014-12-09",5,1840.8899999999999,"Consumer","Cassandra Brandow"
"CB-2415","2013-08-02",4,1232.568,"Consumer","Christy Brittain"
"CB-2535","2014-12-24",2,147.12,"Corporate","Claudia Bergmann"
"CC-12100","2014-11-10",25,11500.123239999995,"Home Office","Chad Cunningham"
"CC-12145","2014-10-10",24,12190.666599999999,"Consumer","Charles Crestani"
"CC-12220","2014-12-11",32,7308.7328,"Consumer","Chris Cortes"
"CC-12370","2014-11-18",30,28229.851400000003,"Consumer","Christopher Conant"
"CC-12430","2014-12-31",29,13997.592559999997,"Home Office","Chuck Clark"
"CC-12475","2014-12-15",30,17159.800460000006,"Consumer","Cindy Chapman"
"CC-12550","2014-12-04",25,7908.65034,"Consumer","Clay Cheatham"
"CC-12610","2014-12-15",29,16822.64,"Corporate","Corey Catlett"
"CC-12670","2014-12-15",28,9969.027900000003,"Consumer","Craig Carreira"
"CC-12685","2014-11-07",20,12798.5442,"Consumer","Craig Carroll"
"CC-2100","2014-11-01",5,1020.0480000000001,"Home Office","Chad Cunningham"
"CC-2145","2013-08-14",6,1158.18,"Consumer","Charles Crestani"
"CC-2220","2014-12-10",12,4174.182,"Consumer","Chris Cortes"
"CC-2370","2014-12-25",9,6957.225000000001,"Consumer","Christopher Conant"
"CC-2430","2013-09-16",2,1041.57,"Home Office","Chuck Clark"
"CC-2475","2014-11-06",7,3709.8809999999994,"Consumer","Cindy Chapman"
"CC-2550","2014-04-04",5,1433.4,"Consumer","Clay Cheatham"
"CC-2610","2014-01-21",3,782.3879999999999,"Corporate","Corey Catlett"
"CC-2670","2014-08-07",6,1527.582,"Consumer","Craig Carreira"
"CC-2685","2014-08-22",5,4019.4120000000003,"Consumer","Craig Carroll"
"CD-11920","2014-12-29",27,18296.747399999993,"Consumer","Carlos Daly"
"CD-11980","2014-12-30",23,11848.16246,"Consumer","Carol Darley"
"CD-12280","2014-11-20",24,16779.548379999993,"Consumer","Christina DeMoss"
"CD-12790","2014-10-16",25,13468.114499999998,"Home Office","Cynthia Delaney"
"CD-1920","2014-02-20",4,1821.219,"Consumer","Carlos Daly"
"CD-1980","2014-12-25",7,1380.228,"Consumer","Carol Darley"
"CD-2280","2014-12-19",7,1205.04,"Consumer","Christina DeMoss"
"CD-2790","2014-08-22",7,974.0280000000001,"Home Office","Cynthia Delaney"
"CG-12040","2014-12-10",19,3596.268,"Home Office","Catherine Glotzbach"
"CG-12520","2014-12-03",18,13545.47002,"Consumer","Claire Gute"
"CG-2040","2013-12-18",5,518.94,"Home Office","Catherine Glotzbach"
"CG-2520","2014-09-03",7,1116.2039999999997,"Consumer","Claire Gute"
"CH-12070","2014-10-03",21,11122.556559999999,"Home Office","Cathy Hwang"
"CH-2070","2014-02-28",8,4545.618,"Home Office","Cathy Hwang"
"CJ-11875","2014-12-18",23,12538.83296,"Corporate","Carl Jackson"
"CJ-12010","2014-11-28",26,19356.004599999997,"Consumer","Caroline Jumper"
"CJ-1875","2014-11-29",6,1431.4320000000002,"Corporate","Carl Jackson"
"CJ-2010","2014-11-15",3,223.56,"Consumer","Caroline Jumper"
"CK-12205","2014-12-27",38,13625.207839999995,"Consumer","Chloris Kastensmidt"
"CK-12325","2014-10-31",27,9927.89832,"Home Office","Christine Kargatis"
"CK-12595","2014-11-18",33,16480.866180000008,"Consumer","Clytie Kelty"
"CK-12760","2014-11-04",26,6574.804399999999,"Corporate","Cyma Kinney"
"CK-2205","2014-10-13",5,950.697,"Consumer","Chloris Kastensmidt"
"CK-2325","2014-12-31",8,3125.2949999999996,"Home Office","Christine Kargatis"
"CK-2595","2014-05-30",3,662.28,"Consumer","Clytie Kelty"
"CK-2760","2014-11-24",12,4015.9500000000007,"Corporate","Cyma Kinney"
"CL-11890","2014-12-18",31,17622.411360000002,"Consumer","Carl Ludwig"
"CL-12565","2014-12-26",30,17008.13588000001,"Consumer","Clay Ludtke"
"CL-12700","2014-12-23",31,17943.650800000007,"Home Office","Craig Leslie"
"CL-1890","2014-09-30",9,560.745,"Consumer","Carl Ludwig"
"CL-2565","2014-11-19",6,2775.636,"Consumer","Clay Ludtke"
"CL-2700","2014-08-12",4,1432.3739999999998,"Home Office","Craig Leslie"
"CM-11815","2014-11-21",23,14362.800399999995,"Corporate","Candace McMahon"
"CM-11830","2014-12-25",24,16828.818999999992,"Corporate","Cari MacIntyre"
"CM-11935","2014-11-25",18,9689.012400000001,"Consumer","Carlos Meador"
"CM-12115","2014-12-23",20,14577.7713,"Consumer","Chad McGuire"
"CM-12160","2014-12-05",26,17910.03942,"Consumer","Charles McCrossin"
"CM-12190","2014-12-31",25,11375.052219999998,"Consumer","Charlotte Melton"
"CM-12235","2014-11-19",22,11377.590999999999,"Consumer","Chris McAfee"
"CM-12385","2014-11-24",25,21882.96992,"Consumer","Christopher Martinez"
"CM-12445","2014-12-16",25,11971.708079999999,"Consumer","Chuck Magee"
"CM-12655","2014-12-04",18,14188.722679999997,"Home Office","Corinna Mitchell"
"CM-12715","2014-11-20",19,8392.578899999999,"Corporate","Craig Molinari"
"CM-1815","2014-10-31",5,431.874,"Corporate","Candace McMahon"
"CM-1830","2014-09-09",13,4777.407,"Corporate","Cari MacIntyre"
"CM-1935","2014-11-13",7,459.2939999999999,"Consumer","Carlos Meador"
"CM-2115","2014-12-11",3,1907.37,"Consumer","Chad McGuire"
"CM-2160","2014-11-12",5,2245.92,"Consumer","Charles McCrossin"
"CM-2190","2014-08-01",4,1451.49,"Consumer","Charlotte Melton"
"CM-2235","2014-11-10",5,243.03000000000003,"Consumer","Chris McAfee"
"CM-2385","2013-06-05",4,580.614,"Consumer","Christopher Martinez"
"CM-2445","2014-01-17",4,1741.578,"Consumer","Chuck Magee"
"CM-2655","2014-11-11",12,1389.8339999999998,"Home Office","Corinna Mitchell"
"CM-2715","2014-09-05",7,2838.264,"Corporate","Craig Molinari"
"CP-12085","2014-10-23",23,14183.8819,"Corporate","Cathy Prescott"
"CP-12340","2014-12-23",30,20109.469280000005,"Corporate","Christine Phan"
"CP-2085","2014-08-11",10,5585.7,"Corporate","Cathy Prescott"
"CP-2340","2013-09-24",4,5044.649999999999,"Corporate","Christine Phan"
"CR-12580","2014-12-09",20,8700.312499999998,"Home Office","Clay Rozendal"
"CR-12625","2014-11-18",28,17271.20568000001,"Home Office","Corey Roper"
"CR-12730","2014-12-09",24,19487.963760000017,"Consumer","Craig Reiter"
"CR-12820","2014-11-01",24,14470.550560000001,"Home Office","Cyra Reiten"
"CR-2580","2014-11-27",5,3057.264,"Home Office","Clay Rozendal"
"CR-2625","2014-08-14",9,5079.897,"Home Office","Corey Roper"
"CR-2730","2014-12-26",11,1359.5760000000002,"Consumer","Craig Reiter"
"CR-2820","2014-11-06",8,1188.0120000000004,"Home Office","Cyra Reiten"
"CS-11845","2014-12-16",26,20471.05259999999,"Corporate","Cari Sayre"
"CS-11860","2014-10-15",21,10555.92482,"Consumer","Cari Schnelling"
"CS-11950","2014-12-06",31,14222.971339999996,"Consumer","Carlos Soltero"
"CS-12130","2014-12-20",22,10981.230999999998,"Consumer","Chad Sievert"
"CS-12175","2014-11-01",29,16706.0963,"Corporate","Charles Sheldon"
"CS-12250","2014-12-05",30,12496.105299999997,"Corporate","Chris Selesnick"
"CS-12355","2014-12-25",31,9240.896999999999,"Consumer","Christine Sundaresam"
"CS-12400","2014-12-30",23,10221.36436,"Home Office","Christopher Schild"
"CS-12460","2014-12-25",23,20084.217280000004,"Consumer","Chuck Sachs"
"CS-12490","2014-12-29",30,11110.496500000007,"Corporate","Cindy Schnelling"
"CS-12505","2014-12-04",16,11535.246400000002,"Consumer","Cindy Stewart"
"CS-1845","2014-12-07",8,1593.312,"Corporate","Cari Sayre"
"CS-1860","2014-11-11",9,1618.6740000000002,"Consumer","Cari Schnelling"
"CS-1950","2014-08-18",5,714.072,"Consumer","Carlos Soltero"
"CS-2130","2014-03-01",4,1367.2679999999998,"Consumer","Chad Sievert"
"CS-2175","2014-11-04",5,3340.0980000000004,"Corporate","Charles Sheldon"
"CS-2250","2014-12-29",4,1917.6239999999998,"Corporate","Chris Selesnick"
"CS-2355","2014-11-06",9,1307.1599999999999,"Consumer","Christine Sundaresam"
